Time,Open,High,Low,Close,Volume
2025-04-21 02:00,1628.63,1645,1625.57,1632.67,4856.22669
2025-04-21 03:00,1632.67,1642.88,1632.07,1634.39,3703.34321
2025-04-21 04:00,1634.39,1641.3,1631.3,1640.08,5465.41726
2025-04-21 05:00,1640.08,1656.34,1637.44,1648.21,5251.90333
2025-04-21 06:00,1648.21,1658.33,1645.8,1647.97,5435.90525
2025-04-21 07:00,1647.97,1650.38,1641.51,1645.91,4225.56326
2025-04-21 08:00,1645.91,1649.38,1643.76,1649.16,2992.6567
2025-04-21 09:00,1649.16,1654.69,1639.5,1642.58,4229.08059
2025-04-21 10:00,1642.58,1643.42,1628.61,1635.71,6036.39987
2025-04-21 11:00,1635.71,1636.17,1617.88,1626.33,8368.26474
2025-04-21 12:00,1626.33,1631.68,1623.58,1623.7,9541.03539
2025-04-21 13:00,1623.7,1630.5,1611.5,1611.87,14602.55623
2025-04-21 14:00,1611.87,1641.76,1608.6,1634.09,21269.31594
2025-04-21 15:00,1634.09,1635.11,1619,1623.3,7404.55241
2025-04-21 16:00,1623.3,1626.09,1587.45,1589.52,7094.63362
2025-04-21 17:00,1589.52,1590,1571.55,1578.41,13366.36503
2025-04-21 18:00,1578.41,1579.21,1567.34,1567.72,5316.27265
2025-04-21 19:00,1567.72,1581.08,1564.36,1574.71,8323.08359
2025-04-21 20:00,1574.71,1578.06,1571.36,1577.53,4456.78004
2025-04-21 21:00,1577.53,1580.15,1572.33,1578.51,2472.89256
2025-04-21 22:00,1578.51,1578.89,1571.5,1577.85,2757.3181
2025-04-21 23:00,1577.85,1580.74,1572.11,1579.56,3992.05362
2025-04-22 00:00,1579.56,1580.8,1539,1568.97,6763.61417
2025-04-22 01:00,1568.97,1589,1565.21,1586.81,10384.20256
