id,symbol,name,current_price,24h_change_%,7d_change_%,type
zcash,zec,Zcash,165.38,12.07278031727526,147.36100846510186,gainer_24h
hash-2,hash,Provenance Blockchain,0.03683521,11.726626460357465,-5.962133441050783,gainer_24h
binancecoin,bnb,BNB,1217.6,4.914334680973527,20.853910764913604,gainer_24h
wbnb,wbnb,Wrapped BNB,1216.73,4.810306937167215,20.67956860479932,gainer_24h
mantle,mnt,Mantle,2.15,3.9666842622580933,17.20163183683834,gainer_24h
plasma,xpl,Plasma,0.878568,1.7783358809765732,-32.478387712925624,gainer_24h
okb,okb,OKB,226.73,1.558290799168323,17.643468515457002,gainer_24h
bitget-token,bgb,Bitget Token,5.56,1.5054409975011709,6.761007261503068,gainer_24h
memecore,m,MemeCore,2.06,1.4683042892658795,-11.569006936935672,gainer_24h
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,124058.0,0.9843592685735595,10.641556704335729,gainer_24h
pump-fun,pump,Pump.fun,0.00637848,-7.753779523756367,11.929355561474543,loser_24h
pudgy-penguins,pengu,Pudgy Penguins,0.0311518,-6.197425666467436,10.862210536872578,loser_24h
ethena,ena,Ethena,0.584938,-4.877612548187868,1.4958284747561221,loser_24h
aptos,apt,Aptos,5.28,-4.288854457573231,24.179261193016455,loser_24h
fetch-ai,fet,Artificial Superintelligence Alliance,0.579371,-4.081548759264429,1.9546109059832655,loser_24h
near,near,NEAR Protocol,2.96,-3.9236862701301654,7.048598314140649,loser_24h
monero,xmr,Monero,318.31,-3.678526362222819,10.37461883302446,loser_24h
bonk,bonk,Bonk,2.013e-05,-2.8634966795483625,5.121643198261313,loser_24h
chainlink,link,Chainlink,22.14,-2.522719981989094,3.5440364662048793,loser_24h
hyperliquid,hype,Hyperliquid,48.55,-2.3098049093409667,1.3268609584532893,loser_24h
zcash,zec,Zcash,165.38,12.07278031727526,147.36100846510186,gainer_7d
aptos,apt,Aptos,5.28,-4.288854457573231,24.179261193016455,gainer_7d
binancecoin,bnb,BNB,1217.6,4.914334680973527,20.853910764913604,gainer_7d
wbnb,wbnb,Wrapped BNB,1216.73,4.810306937167215,20.67956860479932,gainer_7d
okb,okb,OKB,226.73,1.558290799168323,17.643468515457002,gainer_7d
mantle,mnt,Mantle,2.15,3.9666842622580933,17.20163183683834,gainer_7d
litecoin,ltc,Litecoin,120.47,-0.20501549620500717,13.244430408877585,gainer_7d
binance-staked-sol,bnsol,Binance Staked SOL,250.83,0.22639844902664352,12.029293107751839,gainer_7d
pump-fun,pump,Pump.fun,0.00637848,-7.753779523756367,11.929355561474543,gainer_7d
jito-staked-sol,jitosol,Jito Staked SOL,288.04,0.22377775436916844,11.69747903153221,gainer_7d
plasma,xpl,Plasma,0.878568,1.7783358809765732,-32.478387712925624,loser_7d
memecore,m,MemeCore,2.06,1.4683042892658795,-11.569006936935672,loser_7d
world-liberty-financial,wlfi,World Liberty Financial,0.198992,-0.7384626944088837,-6.708093746859249,loser_7d
hash-2,hash,Provenance Blockchain,0.03683521,11.726626460357465,-5.962133441050783,loser_7d
flare-networks,flr,Flare,0.02427326,-0.6738123670054251,-4.77661922557405,loser_7d
story-2,ip,Story,9.49,-0.9968147139101408,-3.715808422791199,loser_7d
worldcoin-wld,wld,Worldcoin,1.26,-2.251487466947082,-3.615885904548547,loser_7d
pi-network,pi,Pi Network,0.260124,-0.3615444981642839,-2.4588003047743214,loser_7d
kaspa,kas,Kaspa,0.075995,-0.3851585677249523,-1.2451502603957416,loser_7d
ethena-usde,usde,Ethena USDe,1.0,0.02579957832316479,-0.0765233166907372,loser_7d
