id,symbol,name,current_price,24h_change_%,7d_change_%,type
hash-2,hash,Provenance Blockchain,0.03624338,9.381742543495289,-4.377739707337383,gainer_24h
mantle,mnt,Mantle,2.15,5.620867516655453,16.7687621800353,gainer_24h
binancecoin,bnb,BNB,1213.85,4.2306069153421735,20.481469249584563,gainer_24h
wbnb,wbnb,Wrapped BNB,1214.56,3.8534946477554053,20.215087061822455,gainer_24h
zcash,zec,Zcash,164.45,3.1229847323898356,148.9732769346679,gainer_24h
aster-2,aster,Aster,2.06,2.8982388093546594,6.818792278102799,gainer_24h
bitget-token,bgb,Bitget Token,5.56,0.9854317948491479,6.665771173342727,gainer_24h
tron,trx,TRON,0.343767,0.20121620839347604,2.723127615634192,gainer_24h
plasma,xpl,Plasma,0.883811,0.19271452043216558,-33.107695499484656,gainer_24h
falcon-finance,usdf,Falcon USD,0.999943,0.16728040739285022,0.4056001707419936,gainer_24h
pump-fun,pump,Pump.fun,0.0064102,-8.767874637764566,12.485998644167402,loser_24h
pudgy-penguins,pengu,Pudgy Penguins,0.03116153,-8.208278170698609,9.949733551289313,loser_24h
ethena,ena,Ethena,0.58648,-6.719208513724617,0.8709201076899901,loser_24h
near,near,NEAR Protocol,2.96,-5.644561377682879,5.715406944655553,loser_24h
bonk,bonk,Bonk,1.999e-05,-5.3585638570838166,4.808974912922989,loser_24h
monero,xmr,Monero,319.76,-5.216447389470656,10.878824335172393,loser_24h
fetch-ai,fet,Artificial Superintelligence Alliance,0.58065,-4.63185609415589,1.5670841171039274,loser_24h
hyperliquid,hype,Hyperliquid,48.74,-4.115353364821865,2.0509497802637804,loser_24h
kinetic-staked-hype,khype,Kinetiq Staked HYPE,48.96,-4.067170925917432,1.9573604575390284,loser_24h
ondo-finance,ondo,Ondo,0.922321,-3.604203470083564,3.7205372595606128,loser_24h
zcash,zec,Zcash,164.45,3.1229847323898356,148.9732769346679,gainer_7d
aptos,apt,Aptos,5.35,-2.4026049822273627,24.568700146420788,gainer_7d
binancecoin,bnb,BNB,1213.85,4.2306069153421735,20.481469249584563,gainer_7d
wbnb,wbnb,Wrapped BNB,1214.56,3.8534946477554053,20.215087061822455,gainer_7d
okb,okb,OKB,226.08,-0.16893755119563214,17.30740955632431,gainer_7d
mantle,mnt,Mantle,2.15,5.620867516655453,16.7687621800353,gainer_7d
litecoin,ltc,Litecoin,120.58,-0.9630628908456155,13.349290115396725,gainer_7d
pump-fun,pump,Pump.fun,0.0064102,-8.767874637764566,12.485998644167402,gainer_7d
jito-staked-sol,jitosol,Jito Staked SOL,288.21,-0.9381470256905151,11.763759171309013,gainer_7d
binance-staked-sol,bnsol,Binance Staked SOL,251.11,-1.0503988675624485,11.557345936656196,gainer_7d
plasma,xpl,Plasma,0.883811,0.19271452043216558,-33.107695499484656,loser_7d
memecore,m,MemeCore,2.06,-0.0031577068230973218,-10.36677508608089,loser_7d
world-liberty-financial,wlfi,World Liberty Financial,0.199762,-1.4380005885531197,-7.169230982268454,loser_7d
flare-networks,flr,Flare,0.0242725,-1.5413174251742225,-4.9167998029294715,loser_7d
hash-2,hash,Provenance Blockchain,0.03624338,9.381742543495289,-4.377739707337383,loser_7d
worldcoin-wld,wld,Worldcoin,1.26,-3.5882575016964235,-3.682657375007718,loser_7d
story-2,ip,Story,9.54,-2.0070791545414335,-2.537114631504154,loser_7d
pi-network,pi,Pi Network,0.260428,-0.6861644529901757,-2.3447878334062504,loser_7d
kaspa,kas,Kaspa,0.076407,-1.225543353106662,-0.5463807781269789,loser_7d
ethena-usde,usde,Ethena USDe,1.0,0.0055743622094055305,-0.09136269941465323,loser_7d
