id,symbol,name,current_price,24h_change_%,7d_change_%,type
zcash,zec,Zcash,165.47,12.42517553328787,147.5007017630509,gainer_24h
aster-2,aster,Aster,2.04,11.570615856027555,5.066288538726008,gainer_24h
hash-2,hash,Provenance Blockchain,0.03652418,10.8572674411994,-6.756155146293465,gainer_24h
binancecoin,bnb,BNB,1219.17,5.200115699334285,21.1433892872829,gainer_24h
mantle,mnt,Mantle,2.17,5.1967319245165715,18.458168728519038,gainer_24h
wbnb,wbnb,Wrapped BNB,1218.29,5.056121052864399,21.069618158444538,gainer_24h
plasma,xpl,Plasma,0.877349,2.777173433923738,-32.572064736074815,gainer_24h
okb,okb,OKB,227.44,2.5682126691912015,18.40303702086815,gainer_24h
bitget-token,bgb,Bitget Token,5.57,1.8171427996978518,6.870281383291606,gainer_24h
spx6900,spx,SPX6900,1.62,1.489775361040832,61.85930390122856,gainer_24h
pudgy-penguins,pengu,Pudgy Penguins,0.03108444,-5.684313094769276,10.622486573249219,loser_24h
pump-fun,pump,Pump.fun,0.00641937,-5.414226942812383,14.612102570331892,loser_24h
ethena,ena,Ethena,0.581454,-3.8804790888988103,2.435736544125616,loser_24h
aptos,apt,Aptos,5.3,-3.500193240221536,24.665245211000215,loser_24h
monero,xmr,Monero,317.88,-3.4741494861322044,9.571255794597294,loser_24h
near,near,NEAR Protocol,2.97,-2.712493930042899,7.1237388721405335,loser_24h
chainlink,link,Chainlink,22.07,-2.027020678123544,3.61645964406062,loser_24h
hyperliquid,hype,Hyperliquid,48.15,-1.8406113624334828,2.01294640655404,loser_24h
kinetic-staked-hype,khype,Kinetiq Staked HYPE,48.36,-1.7737724378391284,2.2938662026863335,loser_24h
worldcoin-wld,wld,Worldcoin,1.26,-1.7406081934181619,-3.1279054374236495,loser_24h
zcash,zec,Zcash,165.47,12.42517553328787,147.5007017630509,gainer_7d
spx6900,spx,SPX6900,1.62,1.489775361040832,61.85930390122856,gainer_7d
aptos,apt,Aptos,5.3,-3.500193240221536,24.665245211000215,gainer_7d
binancecoin,bnb,BNB,1219.17,5.200115699334285,21.1433892872829,gainer_7d
wbnb,wbnb,Wrapped BNB,1218.29,5.056121052864399,21.069618158444538,gainer_7d
mantle,mnt,Mantle,2.17,5.1967319245165715,18.458168728519038,gainer_7d
okb,okb,OKB,227.44,2.5682126691912015,18.40303702086815,gainer_7d
pump-fun,pump,Pump.fun,0.00641937,-5.414226942812383,14.612102570331892,gainer_7d
litecoin,ltc,Litecoin,120.09,0.21446742681551761,13.3818722513155,gainer_7d
binance-staked-sol,bnsol,Binance Staked SOL,250.13,0.2669784555962838,12.272493610679518,gainer_7d
plasma,xpl,Plasma,0.877349,2.777173433923738,-32.572064736074815,loser_7d
memecore,m,MemeCore,2.05,0.7129377407824309,-11.906611182105664,loser_7d
world-liberty-financial,wlfi,World Liberty Financial,0.198741,-0.5768862128989345,-6.825634694872787,loser_7d
hash-2,hash,Provenance Blockchain,0.03652418,10.8572674411994,-6.756155146293465,loser_7d
flare-networks,flr,Flare,0.02431036,-0.28514593932422355,-4.6311042790977295,loser_7d
worldcoin-wld,wld,Worldcoin,1.26,-1.7406081934181619,-3.1279054374236495,loser_7d
pi-network,pi,Pi Network,0.25978,-0.2487010282089368,-2.490741959529729,loser_7d
kaspa,kas,Kaspa,0.075776,0.5688917595033453,-1.5301669535574194,loser_7d
story-2,ip,Story,9.5,-0.16112494679684475,-0.25066993728101217,loser_7d
susds,susds,sUSDS,1.068,-0.6913223579307193,-0.0875497286337179,loser_7d
